,job_location,job_title,job_company,job_price,job_price_min,job_price_max
369,深圳,中级产销协同岗（数据分析）[南山区],DJI大疆创新,15k-25k,15,25
370,深圳,大数据测试工程师[西乡],万顺叫车,15k-25k,15,25
371,深圳,数据库架构师（深圳）[科技园],华云中盛,30k-45k,30,45
372,深圳,大数据应用研发工程师[南山区],顺丰国际,25k-50k,25,50
373,深圳,数据开发工程师（2022届）[南山区],爱玩网络,6k-10k,6,10
374,深圳,数据分析师（深圳） (MJ000019)[大冲],数数科技,20k-35k,20,35
375,深圳,数据库研发工程师[龙华新区],深算院,18k-35k,18,35
376,深圳,高级数据分析师[大冲],观远数据,25k-50k,25,50
377,深圳,数据挖掘实习生[南山区],O2OMind,6k-10k,6,10
378,深圳,数据质量管理实习生[南山区],O2OMind,3k-5k,3,5
379,深圳,数据总监[大冲],数位大数据科技,50k-70k,50,70
380,深圳,高级数据分析师(J10819)[科技园],传易音乐,15k-25k,15,25
381,深圳,数据运营分析师[南山区],数位大数据科技,10k-15k,10,15
382,深圳,软件开发工程师 -- 数据系统[南山区],Foris,20k-40k,20,40
383,深圳,Web3/DeFi 高级数据工程师 (MJ000172)[大冲],Foris,25k-50k,25,50
384,深圳,高级数据分析师[福田区],懒人科技,22k-30k,22,30
385,深圳,数据产品经理[福田区],懒人科技,25k-35k,25,35
386,深圳,大数据开发工程师[科技园],万威,20k-30k,20,30
387,深圳,大数据开发工程师（大数据服务部）[科技园],金蝶,15k-25k,15,25
388,深圳,数据产品经理[南山区],万威,16k-22k,16,22
389,深圳,大数据开发岗[福田区],立创商城,16k-28k,16,28
390,深圳,大数据测试工程师[龙华新区],深算院,13k-25k,13,25
391,深圳,大数据开发实习生[南山区],数澜科技,3k-5k,3,5
392,深圳,数据产品经理[新洲],壹诺恒,15k-25k,15,25
393,深圳,大数据开发工程师－数仓方向 (MJ000040)[南山区],小鹅（小鹅通）,15k-30k,15,30
394,深圳,数据开发工程师[福田区],壹诺恒,10k-15k,10,15
395,深圳,大数据开发工程师[大冲],智生道人才咨询,20k-40k,20,40
396,深圳,高级数据开发工程师[大冲],智生道人才咨询,25k-50k,25,50
397,深圳,大数据产品经理[南山区],明源云,25k-38k,25,38
398,深圳,数据开发工程师[大冲],ONES,15k-30k,15,30
399,深圳,KXX-后台开发工程师(大数据系统开发)[大冲],微众银行,15k-25k,15,25
400,深圳,大数据研发工程师(J10339)[大冲],云天励飞,20k-40k,20,40
401,深圳,经营分析专家-数据分析 (MJ007853)[福田区],货拉拉,30k-50k,30,50
402,深圳,数据分析师-运力效能 (MJ007854)[福田区],货拉拉,30k-45k,30,45
403,深圳,学习数据分析师(JDWDL)[大冲],风变科技（深圳）有限公司,15k-25k,15,25
404,深圳,KKG-数据应用工程师(数据建模方向)[大冲],微众银行,15k-25k,15,25
